org_row,route_id,direction_id,date,stop_id,on_time_rate,schedule_waiting_time,actual_waiting_time,excess_waiting_time,weighted_excess,a_devided_s,LIGNE
3311,27,1,20210920,9025,0.5384615384615384,"[5.3618421052631575, 5.341209829867675, 5.685714285714286]","[6.669911529632014, 10.353987385790733, 5.4695130081943795]","[1.3080694243688562, 5.012777555923058, -0.21620127751990648]",3.3971551928368537,0.8155339805825242,046b
3312,27,1,20210920,2209,0.5714285714285714,"[5.363704373561328, 5.489707831487775]","[7.088441312694247, 9.42905989472091]","[1.724736939132919, 3.9393520632331347]",3.522483333990741,0.7475728155339806,046b
3313,27,1,20210920,2835,0.5294117647058824,"[5.128571428571429, 5.493589743589744]","[5.566100947137473, 7.841544031960388]","[0.43752951856604394, 2.3479542883706443]",2.0295501600698778,0.8737864077669902,046b
3314,27,1,20210920,2211,0.2857142857142857,"[5.128571428571429, 5.427419590643275]","[8.76095286345863, 7.63170477431432]","[3.6323814348872014, 2.204285183671045]",2.445653564158283,0.7961165048543689,046b
3315,27,1,20210920,2303,0.3,"[5.4480519480519485, 4.942359249329758, 5.6679389312977095]","[7.893870736287874, 5.864843350530817, 7.812723332371097]","[2.4458187882359255, 0.922484101201059, 2.1447844010733874]",1.6118695528361535,0.8090909090909091,046b
3316,27,1,20210920,2212,0.2758620689655172,"[5.4480519480519485, 4.942359249329758, 5.6679389312977095]","[6.555974759733013, 9.353204963428956, 6.603279166596781]","[1.1079228116810649, 4.410845714099198, 0.9353402352990718]",2.6442466570980963,0.8256880733944955,046b
3317,27,1,20210920,2213,0.2068965517241379,"[5.52471503882596, 4.942359249329758, 5.640858824531153]","[10.124480072429792, 7.9904805125952505, 5.941683799913625]","[4.599765033603832, 3.048121263265492, 0.3008249753824721]",2.435203666379479,0.8440366972477065,046b
3318,27,1,20210920,2403,0.2068965517241379,"[5.576433121019108, 4.942359249329758, 5.611538461538461]","[6.8557187716729295, 7.7290009918802465, 5.8058764208007965]","[1.2792856506538213, 2.786641742550488, 0.19433795926233532]",1.6489687613456063,0.8532110091743119,046b
3319,27,1,20210920,2215,0.5833333333333334,"[5.259871355060034, 5.58618509940166]","[2.7223972499520297, 1.853090492009722]","[-2.5374741051080045, -3.733094607391938]",-2.9178988103801653,4.651376146788991,046b
3320,27,1,20210920,2216,0.264367816091954,"[3.1842105263157894, 3.2195945945945947]","[7.77824166666666, 4.787931204107631]","[4.594031140350871, 1.568336609513036]",1.953425004346942,0.7898550724637681,046b
3321,27,1,20210920,2217,0.6071428571428571,"[3.2, 3.175]","[6.213431616842079, 1.6801254315313812]","[3.0134316168420785, -1.4948745684686187]",-0.562121564611233,3.746376811594203,046b
3322,27,1,20210920,2218,0.2317073170731707,"[3.2, 3.211102949485817]","[4.661328910511291, 5.760419979160427]","[1.4613289105112912, 2.54931702967461]",2.3317194058419464,0.8333333333333334,046b
3323,27,1,20210920,6809,0.2073170731707317,"[3.2, 3.2006589015473557]","[6.021718746951225, 5.389487079406066]","[2.821718746951225, 2.18882817785871]",2.315406291677213,0.7898550724637681,046b
3324,27,1,20210920,2220,0.1951219512195122,"[3.2, 3.194314703548351]","[3.770561208370209, 5.222974387382991]","[0.5705612083702087, 2.0286596838346402]",1.737039988741754,0.855072463768116,046b
3325,27,1,20210920,2535B,0.2073170731707317,"[3.2, 3.193877551020408]","[3.4509601625213464, 5.47999430173572]","[0.25096016252134623, 2.2861167507153124]",1.8790854330765192,0.8043478260869565,046b
3326,27,1,20210920,2323,0.1363636363636363,"[3.6080521108626415, 3.6681131455784537]","[5.739345125398241, 6.455611551060583]","[2.1312930145355997, 2.7874984054821295]",2.675252746504434,0.7028985507246377,046b
3327,27,1,20210920,2373,0.2133333333333333,"[3.6063508201165786, 3.171290998051167, 7.5]","[4.310133824470845, 6.579232845739461, 7.5]","[0.7037830043542663, 3.407941847688294, 0.0]",2.696586785676108,0.751937984496124,046b
3328,27,1,20210920,2375,0.2666666666666666,"[3.604652226967663, 3.1711166055026854, 7.5]","[4.618171217343689, 6.520941258415271, 7.5]","[1.013518990376026, 3.3498246529125857, 0.0]",2.7214920610685107,0.7984496124031008,046b
3329,27,1,20210920,3713,0.1866666666666666,"[3.513887746005623, 3.1628617647670767, 7.5]","[5.008855285926521, 5.163062425587355, 7.5]","[1.4949675399208981, 2.000200660820278, 0.0]",1.821074696526507,0.7751937984496124,046b
3330,27,1,20210920,3712,0.24,"[3.5123456790123457, 3.1627434456928842, 7.5]","[6.148860775906933, 5.546740493540699, 7.5]","[2.6365150968945876, 2.3839970478478145, 0.0]",2.358823158727686,0.7829457364341085,046b
3331,27,1,20210920,3718,0.1866666666666666,"[3.510806407354051, 3.162626152277504, 7.5]","[5.778511318917344, 6.012048286632642, 7.5]","[2.267704911563293, 2.8494221343551382, 0.0]",2.624656572236422,0.6976744186046512,046b
3332,27,1,20210920,3717,0.1733333333333333,"[3.5092699327569647, 3.1624526574270613, 7.5]","[4.393959985628983, 5.917269163130398, 7.5]","[0.8846900528720179, 2.754816505703337, 0.0]",2.2493711345471703,0.7441860465116279,046b
3333,27,1,20210920,2476,0.2266666666666666,"[3.504677308616546, 3.1620486002705794, 7.5]","[4.514231151193864, 7.4379570256200935, 7.5]","[1.009553842577318, 4.275908425349514, 0.0]",3.41125712998108,0.7286821705426356,046b
3334,27,1,20210920,1201,0.6486486486486487,"[3.288235294117647, 3.154135338345865, 7.5]","[3.2261204495300877, 1.1353652851370293, 1.0414395393744937]","[-0.062114844587559226, -2.0187700532088355, -6.458560460625506]",-1.71021018477776,5.767441860465116,046b
3335,27,1,20210920,9979B,0.2,[6.10655737704918],[7.344630675037346],[1.2380732979881657],1.2380732979881657,0.896551724137931,046b
3336,30,1,20210920,2303,0.1607142857142857,[5.094936708860759],[9.468900146559388],[4.373963437698629],4.373963437698629,0.8404255319148937,089b
3337,30,1,20210920,3320B,0.2222222222222222,[5.119059893959982],[9.749226881009951],[4.63016698704997],4.63016698704997,0.7659574468085106,089b
3338,30,1,20210920,3221,0.24,[5.114628222113754],[11.440541880396669],[6.325913658282915],6.325913658282915,0.8061224489795918,089b
3339,30,1,20210920,3222,0.28,[5.154168696499409],[9.26646541462003],[4.1122967181206205],4.1122967181206205,0.8367346938775511,089b
3340,30,1,20210920,3223B,0.24,[5.149269311064718],[7.937815888196851],[2.7885465771321325],2.7885465771321325,0.8571428571428571,089b
3341,30,1,20210920,3228,0.28,[5.149438374911567],[10.127590903206205],[4.978152528294638],4.978152528294638,0.7653061224489796,089b
3343,30,1,20210920,1117,0.2068965517241379,"[3.076923076923077, 3.0128205128205128, 7.9]","[8.251365003519604, 5.530664003595297, 10.71644166666665]","[5.174441926596527, 2.5178434907747844, 2.81644166666665]",3.4981067817419613,0.7633587786259542,089b
3918,45,0,20210920,2299,0.2571428571428571,"[3.377094972067039, 3.656862745098039, 3.05188679245283]","[5.809328141379221, 4.297544074944992, 4.081289179617739]","[2.432233169312182, 0.6406813298469527, 1.0294023871649092]",1.5440917600926798,1.2116788321167884,047b
3919,45,0,20210920,1967,0.4788732394366197,"[3.353828784925276, 3.656862745098039, 3.0409138766056016]","[6.271105130496206, 7.367164904461533, 4.939626772249361]","[2.9172763455709303, 3.710302159363494, 1.8987128956437593]",2.4961085999176293,0.7737226277372263,047b
3920,45,0,20210920,2312,0.4788732394366197,"[3.397690058479532, 3.656862745098039, 3.0511972163246055]","[6.655012705986466, 5.90366972156974, 4.540046181880401]","[3.2573226475069337, 2.2468069764717007, 1.4888489655557953]",2.260806287527449,0.781021897810219,047b
3921,45,0,20210920,1987,0.3943661971830985,"[3.398656595191683, 3.656862745098039, 3.0511972163246055]","[5.584429785373187, 8.576442624203901, 5.060783936398235]","[2.185773190181504, 4.9195798791058625, 2.0095867200736297]",2.4014362538969403,0.7883211678832117,047b
3922,45,0,20210920,2314,0.2535211267605634,"[3.405266406757635, 3.656862745098039, 3.040439802016692]","[5.19300344942672, 11.973265892026742, 5.1666199745808425]","[1.787737042669085, 8.316403146928703, 2.1261801725641507]",2.682365952534353,0.7591240875912408,047b
3923,45,0,20210920,2315,0.4242424242424242,"[3.4808612440191387, 3.656862745098039, 3.0402843601895735]","[7.81604815664152, 14.755104897667957, 4.584888599915313]","[4.335186912622381, 11.098242152569918, 1.5446042397257398]",3.733153999574345,0.7445255474452555,047b
3924,45,0,20210920,2316,0.3939393939393939,"[3.4808612440191387, 3.656862745098039, 3.0402843601895735]","[7.68985040692599, 3.5150583333333385, 5.626392729488257]","[4.208989162906851, -0.1418044117647006, 2.586108369298684]",2.9982091996956,0.6277372262773723,047b
3925,45,0,20210920,2317,0.4393939393939394,"[3.4808612440191387, 3.656862745098039, 3.0402843601895735]","[6.907277210250778, 5.78392556220899, 4.624332536189849]","[3.4264159662316396, 2.1270628171109505, 1.5840481760002754]",2.4300514773836577,0.7737226277372263,047b
3927,45,0,20210920,2330,0.0072992700729927,[],[],[],,0.0218978102189781,047b
